Month,2016,2017,2018,2019,2020,2021,2022
1,104,205,215,174,229,276,295
2,87,161,147,176,148,237,282
3,148,233,212,196,142,329,237
4,110,152,198,180,148,285,222
5,167,207,200,231,148,397,
6,90,180,228,166,187,420,
7,110,202,213,199,143,396,
8,110,190,182,182,129,349,
9,152,219,189,182,140,326,
10,215,185,123,209,140,301,
11,192,164,170,126,198,400,
12,149,145,157,133,205,308,
