Month,2016,2017,2018,2019,2020,2021,2022
1,2123,2293,2368,2451,2171,2444,2297
2,1937,2073,2171,2201,2178,2253,2102
3,2098,2375,2442,2356,2099,2175,2256
4,1854,2409,2356,2383,1751,2322,2316
5,2115,2498,2239,2295,1718,2420,
6,2150,2285,2375,2277,1678,2386,
7,2362,2337,2481,1879,2015,2460,
8,2392,2461,2349,1926,2140,2542,
9,2297,2442,2533,1906,2015,2489,
10,2483,2494,2557,2193,2172,2284,
11,2321,2470,2345,2179,2344,2423,
12,2214,2433,2439,2233,2347,2332,
