Month,2016,2017,2018,2019,2020,2021,2022
1,2516,2868,2914,3021,2740,3023,2928
2,2453,2612,2766,2747,2772,2867,2713
3,2529,2887,3113,2878,2722,2802,2988
4,2322,2927,2995,2970,1929,3037,2923
5,2612,2952,2724,2826,2256,3125,
6,2577,2673,2970,2883,2148,3069,
7,2841,2852,3086,2505,2626,3091,
8,2961,2981,2914,2537,2759,3203,
9,2788,2986,3081,2394,2645,3108,
10,2966,3095,3224,2690,2854,2968,
11,2673,3075,2911,2657,3018,3134,
12,2404,2868,2709,2462,2944,2644,
