month,2018,2019,2020,2021
1,215,174,229,276
2,147,176,148,237
3,212,196,142,329
4,198,180,148,285
5,200,231,148,397
6,228,166,187,420
7,213,199,143,396
8,182,182,129,349
9,189,182,140,326
10,123,209,140,301
11,170,126,198,400
12,157,133,205,308
